variable,group,value
Census Tract 8241.23,15min,13.06028439
Census Tract 8044.05,15min,13.70689852
Census Tract 8311,15min,14.17821817
Census Tract 8315,15min,12.74060813
Census Tract 8316,15min,12.85603728
Census Tract 8312,15min,13.91573127
Census Tract 8310,15min,14.02874415
Census Tract 8430,15min,13.53229652
Census Tract 8431,15min,13.579089
Census Tract 8429,15min,13.77717017
Census Tract 8435,15min,14.11709977
Census Tract 8420,15min,14.81380027
Census Tract 8080.02,15min,13.60133201
Census Tract 301.01,15min,7.534747173
Census Tract 307.01,15min,3.649728456
Census Tract 701.03,15min,4.010629618
Census Tract 8071,15min,3.441648387
Census Tract 8072,15min,4.714649172
Census Tract 8073,15min,4.51440315
Census Tract 8074,15min,7.634562773
Census Tract 8075,15min,12.11202927
Census Tract 8077,15min,7.784100633
Census Tract 8079,15min,8.225799194
Census Tract 8080.01,15min,11.13866963
Census Tract 8043.11,15min,11.32750022
Census Tract 8083.01,15min,10.97787237
Census Tract 8083.02,15min,11.44172242
Census Tract 8086,15min,12.38250477
Census Tract 8087.02,15min,15.91169165
Census Tract 7702.02,15min,12.01300695
Census Tract 7706.02,15min,12.75387553
Census Tract 8061.04,15min,12.87634861
Census Tract 8025.06,15min,16.96451331
Census Tract 8025.05,15min,16.72503029
Census Tract 8024.04,15min,17.74078467
Census Tract 8030.17,15min,15.98536882
Census Tract 8047.14,15min,11.67779806
Census Tract 8043.10,15min,15.59210305
Census Tract 8044.03,15min,15.6507069
Census Tract 8206.06,15min,17.62487512
Census Tract 8044.06,15min,16.59459609
Census Tract 8047.16,15min,16.47412981
Census Tract 8062.01,15min,16.62461184
Census Tract 8206.04,15min,16.40612733
Census Tract 8241.16,15min,17.45731674
Census Tract 8240.05,15min,17.62597181
Census Tract 8241.14,15min,16.68471785
Census Tract 8238.06,15min,16.72140707
Census Tract 8240.03,15min,16.38586544
Census Tract 8241.22,15min,16.7324013
Census Tract 8241.17,15min,16.54235551
Census Tract 8319,15min,18.71458981
Census Tract 8045.06,15min,14.36256225
Census Tract 8241.19,15min,17.83280797
Census Tract 8241.20,15min,13.58416708
Census Tract 8395,15min,18.63262859
Census Tract 8326,15min,12.96349775
Census Tract 8369,15min,17.28324454
Census Tract 8412,15min,13.85026056
Census Tract 8419,15min,13.22021264
Census Tract 8358,15min,12.28174404
Census Tract 8388,15min,16.77869945
Census Tract 8423,15min,12.04150565
Census Tract 8155,15min,11.45225296
Census Tract 8432,15min,12.43689211
Census Tract 8434,15min,8.789391549
Census Tract 8426,15min,8.759835892
Census Tract 8032,15min,8.678284603
Census Tract 8033,15min,8.474295529
Census Tract 8089,15min,8.161657809
Census Tract 8090,15min,7.725043914
Census Tract 3018.03,15min,7.414556969
Census Tract 8091,15min,7.327794407
Census Tract 8092,15min,11.36228537
Census Tract 8093,15min,7.308615118
Census Tract 2210,15min,7.473360405
Census Tract 2211,15min,7.320688728
Census Tract 2428,15min,8.083222305
Census Tract 2429,15min,8.562390413
Census Tract 2430,15min,7.855051695
Census Tract 2431,15min,18.80127093
Census Tract 2432,15min,16.8551744
Census Tract 2433,15min,16.27162387
Census Tract 2434,15min,15.57274359
Census Tract 714,15min,15.12543561
Census Tract 1104,15min,11.77387579
Census Tract 1506,15min,11.81205744
Census Tract 1507,15min,11.35303072
Census Tract 1508,15min,12.71786031
Census Tract 1511,15min,14.7274385
Census Tract 1512,15min,17.80548673
Census Tract 2415,15min,16.89156419
Census Tract 2411,15min,16.20825116
Census Tract 2416,15min,15.99143889
Census Tract 2413,15min,17.41475737
Census Tract 2414,15min,16.11636034
Census Tract 2435,15min,16.04403757
Census Tract 2502,15min,14.69311369
Census Tract 2503,15min,14.728615
Census Tract 2504,15min,13.60702963
Census Tract 2505,15min,14.4426524
Census Tract 715,15min,15.73914979
Census Tract 718,15min,16.5389346
Census Tract 801,15min,13.53187166
Census Tract 803,15min,13.93248492
Census Tract 804,15min,14.07111871
Census Tract 1601,15min,15.74786318
Census Tract 1602,15min,15.53716303
Census Tract 1603,15min,14.64567732
Census Tract 1604,15min,15.38086706
Census Tract 1607,15min,15.38086706
Census Tract 2213,15min,14.74958611
Census Tract 2215,15min,9.994889246
Census Tract 2214,15min,13.46736153
Census Tract 2506,15min,13.37776162
Census Tract 2507,15min,13.34763288
Census Tract 2508,15min,9.758954011
Census Tract 2510,15min,13.31819874
Census Tract 2511,15min,10.54538945
Census Tract 514,15min,10.73159509
Census Tract 601,15min,15.41044047
Census Tract 603,15min,10.84431935
Census Tract 608,15min,14.84400462
Census Tract 1608,15min,10.98481789
Census Tract 1609,15min,10.27989859
Census Tract 1610,15min,5.927611042
Census Tract 1611,15min,5.521646171
Census Tract 1612,15min,5.873670859
Census Tract 1613,15min,5.884025327
Census Tract 1701,15min,6.344593621
Census Tract 2216,15min,10.31325671
Census Tract 2421,15min,10.21990353
Census Tract 2420,15min,6.37257428
Census Tract 2512,15min,5.902370534
Census Tract 2513,15min,5.915622893
Census Tract 513,15min,5.955936871
Census Tract 6007,15min,5.995358789
Census Tract 6009,15min,6.121109254
Census Tract 8212,15min,6.211450237
Census Tract 6720,15min,7.527960973
Census Tract 7109,15min,6.199978556
Census Tract 7110,15min,6.058256444
Census Tract 7111,15min,7.712898785
Census Tract 7112,15min,5.835734197
Census Tract 7115,15min,5.743296766
Census Tract 7113,15min,5.802254015
Census Tract 7114,15min,5.814940349
Census Tract 2705,15min,6.222468842
Census Tract 2712,15min,5.816390446
Census Tract 2713,15min,5.763538747
Census Tract 2714,15min,5.729544618
Census Tract 3501,15min,5.506853336
Census Tract 3504,15min,5.649518276
Census Tract 3510,15min,5.616663371
Census Tract 3514,15min,5.351706696
Census Tract 3602,15min,5.50353195
Census Tract 8139,15min,5.39997898
Census Tract 8226.01,15min,6.446235369
Census Tract 8227.01,15min,5.747562359
Census Tract 8227.02,15min,6.630376354
Census Tract 8228.01,15min,6.482844794
Census Tract 8230.02,15min,7.949473285
Census Tract 8140,15min,7.549369491
Census Tract 8141,15min,7.372172098
Census Tract 8142,15min,6.391314473
Census Tract 8143,15min,6.98088789
Census Tract 8144,15min,5.931414388
Census Tract 8231.01,15min,5.260142995
Census Tract 8233.02,15min,1.625648843
Census Tract 8233.03,15min,5.501703674
Census Tract 8235,15min,5.221220747
Census Tract 8145,15min,5.658924402
Census Tract 8146,15min,5.812666301
Census Tract 8148,15min,5.70650678
Census Tract 8149,15min,5.629226487
Census Tract 8150,15min,5.709921235
Census Tract 8151,15min,1.981322272
Census Tract 8236.02,15min,5.937449196
Census Tract 8236.04,15min,5.614059172
Census Tract 8236.05,15min,5.7517719
Census Tract 8237.02,15min,5.75209119
Census Tract 1605.01,15min,5.863264671
Census Tract 8152,15min,7.361196665
Census Tract 8153,15min,7.137036584
Census Tract 8154,15min,7.020167942
Census Tract 8237.04,15min,10.05500737
Census Tract 8237.05,15min,7.099882401
Census Tract 8241.08,15min,6.784605675
Census Tract 8158,15min,2.374447435
Census Tract 8159,15min,2.967072956
Census Tract 8160,15min,2.827903672
Census Tract 8162,15min,2.97947652
Census Tract 8245.07,15min,2.816847608
Census Tract 8246.02,15min,2.286345215
Census Tract 8247.01,15min,2.208389501
Census Tract 8247.02,15min,1.853819623
Census Tract 8252,15min,1.710018385
Census Tract 401,15min,2.200320026
Census Tract 403,15min,5.412808294
Census Tract 8163,15min,5.506038354
Census Tract 8164.01,15min,1.762296736
Census Tract 8164.02,15min,1.544221042
Census Tract 8166,15min,1.541730616
Census Tract 8167,15min,1.644721857
Census Tract 8255.03,15min,1.624140944
Census Tract 8255.04,15min,1.291206079
Census Tract 8255.05,15min,1.28818199
Census Tract 8257,15min,2.11074567
Census Tract 6603.01,15min,2.078347667
Census Tract 2207.01,15min,2.95982072
Census Tract 633.02,15min,2.154737083
Census Tract 2522.01,15min,0.923296226
Census Tract 6603.02,15min,1.567341363
Census Tract 7302.02,15min,2.445709842
Census Tract 8133.02,15min,1.617052078
Census Tract 8137.02,15min,1.598893779
Census Tract 8133.01,15min,1.860012806
Census Tract 8024.03,15min,0.385462441
Census Tract 8030.16,15min,1.022652411
Census Tract 8037.01,15min,4.829275805
Census Tract 8041.08,15min,4.068971391
Census Tract 8047.15,15min,3.867900971
Census Tract 8356,15min,3.98451707
Census Tract 8400,15min,3.283933043
Census Tract 8364,15min,2.853199309
Census Tract 8361,15min,2.945871656
Census Tract 8346,15min,2.891858463
Census Tract 8436,15min,2.691720282
Census Tract 619.02,15min,3.961278598
Census Tract 301.02,15min,4.059242436
Census Tract 301.03,15min,3.100383984
Census Tract 307.06,15min,3.234690033
Census Tract 306.01,15min,2.548512497
Census Tract 812.02,15min,7.287927485
Census Tract 633.03,15min,7.451838125
Census Tract 2209.01,15min,7.259328524
Census Tract 2106.02,15min,6.901595873
Census Tract 2206.02,15min,6.919575602
Census Tract 2206.01,15min,6.702547413
Census Tract 404.01,15min,7.050558235
Census Tract 2522.02,15min,7.284723987
Census Tract 2521.02,15min,6.684592655
Census Tract 7706.01,15min,11.6537829
Census Tract 8061.03,15min,11.4480341
Census Tract 8026.10,15min,14.22549536
Census Tract 8026.09,15min,14.68686995
Census Tract 8046.10,15min,14.69370511
Census Tract 7702.01,15min,11.33804314
Census Tract 8043.08,15min,14.45996069
Census Tract 8206.05,15min,10.13642087
Census Tract 8363,15min,10.79705577
Census Tract 8345,15min,15.43020178
Census Tract 8359,15min,10.24645443
Census Tract 8360,15min,10.393851
Census Tract 8362,15min,10.73034545
Census Tract 8344,15min,10.72414553
Census Tract 8343,15min,10.05134616
Census Tract 701.01,15min,10.02967652
Census Tract 1105.01,15min,5.8874022
Census Tract 301.04,15min,6.031835092
Census Tract 814.01,15min,9.92952982
Census Tract 4301.02,15min,9.834612577
Census Tract 7709.02,15min,10.88063151
Census Tract 8241.21,15min,10.85431525
Census Tract 4301.01,15min,2.263104198
Census Tract 8041.09,15min,1.963763002
Census Tract 8045.07,15min,1.92013121
Census Tract 8046.11,15min,1.913682889
Census Tract 8240.04,15min,10.16695947
Census Tract 8240.06,15min,6.363205649
Census Tract 2521.01,15min,2.086001494
Census Tract 105.01,15min,2.065653254
Census Tract 207.01,15min,5.976636556
Census Tract 102.01,15min,1.675373031
Census Tract 7608.01,15min,1.858069267
Census Tract 8390,15min,4.740670396
Census Tract 4402.01,15min,2.180312855
Census Tract 5401.01,15min,2.252131494
Census Tract 8020.04,15min,2.597375954
Census Tract 8020.03,15min,1.576076959
Census Tract 8030.13,15min,4.481966614
Census Tract 8026.08,15min,4.938863144
Census Tract 8030.15,15min,1.996727443
Census Tract 8030.14,15min,4.099579588
Census Tract 8340,15min,4.182066063
Census Tract 8339,15min,4.148499913
Census Tract 8192,15min,5.133648957
Census Tract 8156,15min,3.840061367
Census Tract 8180,15min,2.473285726
Census Tract 8120,15min,1.696382946
Census Tract 8294.02,15min,1.713084528
Census Tract 8113.02,15min,4.652735869
Census Tract 8028.02,15min,2.404241077
Census Tract 8198.01,15min,2.707442532
Census Tract 8198.02,15min,2.438728318
Census Tract 8199,15min,4.66575578
Census Tract 8200,15min,4.830967284
Census Tract 8274,15min,5.323875713
Census Tract 8276,15min,7.574045842
Census Tract 2827,15min,7.126593998
Census Tract 2828,15min,6.280643701
Census Tract 4003,15min,6.028802414
Census Tract 4005,15min,5.684306726
Census Tract 4008,15min,5.819162877
Census Tract 4101,15min,5.866188398
Census Tract 4105,15min,6.221401475
Census Tract 4106,15min,6.643396827
Census Tract 4601,15min,6.764493003
Census Tract 8051.05,15min,6.415834935
Census Tract 8277,15min,6.02374162
Census Tract 8278.02,15min,5.958899108
Census Tract 8278.04,15min,6.386441452
Census Tract 4503,15min,6.58417388
Census Tract 4602,15min,6.480824781
Census Tract 8051.06,15min,6.509766648
Census Tract 8051.07,15min,2.608372828
Census Tract 8051.08,15min,10.82802056
Census Tract 6404,15min,6.750291657
Census Tract 6405,15min,10.97693246
Census Tract 6406,15min,6.733993427
Census Tract 6407,15min,7.494348104
Census Tract 6408,15min,7.85309057
Census Tract 6501,15min,6.739243484
Census Tract 6502,15min,6.814138608
Census Tract 2804,15min,11.19729222
Census Tract 8114.01,15min,11.18802611
Census Tract 8113.01,15min,10.87732855
Census Tract 7506,15min,7.916693137
Census Tract 8126,15min,8.984370301
Census Tract 8030.08,15min,8.028827219
Census Tract 8051.10,15min,7.952435978
Census Tract 8051.11,15min,7.628380923
Census Tract 8051.12,15min,6.655600363
Census Tract 8052.01,15min,6.258648443
Census Tract 8203,15min,5.46301474
Census Tract 8204,15min,5.469697755
