variable,group,value,id
Census Tract 1603,15min,0.355106,17031160300
Census Tract 1604,15min,0.0630203,17031160400
Census Tract 1605.01,15min,1.01979,17031160501
Census Tract 1605.02,15min,1.05702,17031160502
Census Tract 1606.01,15min,0.156225,17031160601
Census Tract 1606.02,15min,0.873293,17031160602
Census Tract 1607,15min,0.470703,17031160700
Census Tract 1608,15min,0.656286,17031160800
Census Tract 1609,15min,1.01325,17031160900
Census Tract 1610,15min,0.0109741,17031161000
Census Tract 1611,15min,0.158958,17031161100
Census Tract 1612,15min,0.196313,17031161200
Census Tract 1613,15min,0.0914396,17031161300
Census Tract 1701,15min,0.306169,17031170100
Census Tract 1702,15min,0.643975,17031170200
Census Tract 1703,15min,0.16148,17031170300
Census Tract 1704,15min,0.0631946,17031170400
Census Tract 1705,15min,0.259052,17031170500
Census Tract 1706,15min,0.289405,17031170600
Census Tract 1707,15min,0.0630476,17031170700
Census Tract 1708,15min,0.0243372,17031170800
Census Tract 1709,15min,0.119826,17031170900
Census Tract 1710,15min,0.0622615,17031171000
Census Tract 1711,15min,0.172239,17031171100
Census Tract 1801,15min,0.13155,17031180100
Census Tract 1901,15min,0.123964,17031190100
Census Tract 1902,15min,0.11612,17031190200
Census Tract 1903,15min,0.0419435,17031190300
Census Tract 1904.01,15min,0.0625676,17031190401
Census Tract 1904.02,15min,0.104706,17031190402
Census Tract 1906.01,15min,0.171852,17031190601
Census Tract 1906.02,15min,0.100007,17031190602
Census Tract 1907.01,15min,0.467684,17031190701
Census Tract 1907.02,15min,0.064282,17031190702
Census Tract 1908,15min,0.120261,17031190800
Census Tract 1909,15min,0.120636,17031190900
Census Tract 1910,15min,0.0916181,17031191000
Census Tract 1911,15min,0.115099,17031191100
Census Tract 1912,15min,0.111939,17031191200
Census Tract 1913.01,15min,0.188707,17031191301
Census Tract 1913.02,15min,0.0699364,17031191302
Census Tract 2001,15min,0.992421,17031200100
Census Tract 2002,15min,0.0769857,17031200200
Census Tract 2003,15min,0.0184858,17031200300
Census Tract 2004.01,15min,0.0795239,17031200401
Census Tract 2004.02,15min,0.104949,17031200402
Census Tract 2101,15min,0.0260218,17031210100
Census Tract 2104,15min,0.789666,17031210400
Census Tract 2105.01,15min,0.0438844,17031210501
Census Tract 2105.02,15min,0.362334,17031210502
Census Tract 2106.01,15min,0.0567516,17031210601
Census Tract 2106.02,15min,0.00931647,17031210602
Census Tract 2107,15min,0.351589,17031210700
Census Tract 2108,15min,0.0649807,17031210800
Census Tract 2109,15min,0.0933263,17031210900
Census Tract 2203,15min,0.107533,17031220300
Census Tract 2204,15min,0.0952264,17031220400
Census Tract 2205,15min,0.0726,17031220500
Census Tract 2206.01,15min,0.0406667,17031220601
Census Tract 2206.02,15min,0.0559959,17031220602
Census Tract 2207.01,15min,0.0521913,17031220701
Census Tract 2207.02,15min,0.136441,17031220702
Census Tract 2209.01,15min,0.444728,17031220901
Census Tract 2209.02,15min,0.0548471,17031220902
Census Tract 2210,15min,0.115856,17031221000
Census Tract 2211,15min,0.0683633,17031221100
Census Tract 2212,15min,0.0854367,17031221200
Census Tract 2213,15min,0.0725503,17031221300
Census Tract 2214,15min,0.128389,17031221400
Census Tract 2215,15min,0.0514648,17031221500
Census Tract 2216,15min,0.0262631,17031221600
Census Tract 2222,15min,0.0934073,17031222200
Census Tract 2225,15min,0.082355,17031222500
Census Tract 2226,15min,0.0417994,17031222600
Census Tract 2227,15min,0.0791392,17031222700
Census Tract 2228,15min,0.129664,17031222800
Census Tract 2229,15min,0.167544,17031222900
Census Tract 2301,15min,0.0617512,17031230100
Census Tract 2302,15min,0.157123,17031230200
Census Tract 2303,15min,0.134894,17031230300
Census Tract 2304,15min,0.0847026,17031230400
Census Tract 2305,15min,0.104811,17031230500
Census Tract 2306,15min,0.0664744,17031230600
Census Tract 2307,15min,0.0677411,17031230700
Census Tract 2308,15min,0.108735,17031230800
Census Tract 2309,15min,0.428184,17031230900
Census Tract 2311,15min,0.124921,17031231100
Census Tract 2312,15min,0.622111,17031231200
Census Tract 2315,15min,0.0420222,17031231500
Census Tract 2402,15min,0.0579926,17031240200
Census Tract 2403,15min,0.0516501,17031240300
Census Tract 2405,15min,0.0510949,17031240500
Census Tract 2406,15min,0.112245,17031240600
Census Tract 2407,15min,0.0798902,17031240700
Census Tract 2408,15min,0.0769584,17031240800
Census Tract 2409,15min,0.0451191,17031240900
Census Tract 2410,15min,0.0819392,17031241000
Census Tract 2411,15min,0.0841818,17031241100
Census Tract 2412,15min,0.0418584,17031241200
Census Tract 2413,15min,0.0824877,17031241300
Census Tract 2414,15min,0.0722678,17031241400
Census Tract 2415,15min,0.0555751,17031241500
Census Tract 2416,15min,0.0972003,17031241600
Census Tract 2420,15min,0.0912201,17031242000
Census Tract 2421,15min,0.0649531,17031242100
Census Tract 2422,15min,0.0943282,17031242200
Census Tract 2423,15min,0.0508917,17031242300
Census Tract 2424,15min,0.0816551,17031242400
Census Tract 2425,15min,0.0710857,17031242500
Census Tract 2426,15min,0.0583359,17031242600
Census Tract 2427,15min,0.0556818,17031242700
Census Tract 2428,15min,0.0205482,17031242800
Census Tract 2429,15min,0.0769103,17031242900
Census Tract 2430,15min,0.0218539,17031243000
Census Tract 2431,15min,0.0371996,17031243100
Census Tract 2432,15min,0.0751191,17031243200
Census Tract 2433,15min,0.113121,17031243300
Census Tract 2434,15min,0.242641,17031243400
Census Tract 2435,15min,0.620749,17031243500
Census Tract 2502,15min,0.256306,17031250200
Census Tract 2503,15min,0.263476,17031250300
Census Tract 2504,15min,0.367888,17031250400
Census Tract 2505,15min,0.0940317,17031250500
Census Tract 2506,15min,0.315864,17031250600
Census Tract 2507,15min,0.801386,17031250700
Census Tract 2508,15min,0.563333,17031250800
Census Tract 2510,15min,0.0412052,17031251000
Census Tract 2511,15min,0.59957,17031251100
Census Tract 2512,15min,0.703932,17031251200
Census Tract 2513,15min,0.18411,17031251300
Census Tract 2514,15min,0.12818,17031251400
Census Tract 2515,15min,0.373926,17031251500
Census Tract 2516,15min,0.15261,17031251600
Census Tract 2517,15min,0.0356001,17031251700
Census Tract 2518,15min,0.656033,17031251800
Census Tract 2519,15min,0.0207911,17031251900
Census Tract 2520,15min,0.0816231,17031252000
Census Tract 2521.01,15min,0.193916,17031252101
Census Tract 2521.02,15min,0.557424,17031252102
Census Tract 2522.01,15min,0.237561,17031252201
Census Tract 2522.02,15min,0.448036,17031252202
Census Tract 2601,15min,0.0802818,17031260100
Census Tract 2602,15min,0.156987,17031260200
