variable,group,value,id
Census Tract 8037.01,15min,4.829275805,17031560100
Census Tract 8041.08,15min,4.068971391,17031560200
Census Tract 8047.15,15min,3.867900971,17031560300
Census Tract 8356,15min,3.98451707,17031560400
Census Tract 8400,15min,3.283933043,17031560700
Census Tract 8364,15min,2.853199309,17031560800
Census Tract 8361,15min,2.945871656,17031560900
Census Tract 8346,15min,2.891858463,17031561000
Census Tract 8436,15min,2.691720282,17031561100
Census Tract 619.02,15min,3.961278598,17031570100
Census Tract 301.02,15min,4.059242436,17031570200
Census Tract 301.03,15min,3.100383984,17031570300
Census Tract 307.06,15min,3.234690033,17031570400
Census Tract 306.01,15min,2.548512497,17031570500
Census Tract 812.02,15min,7.287927485,17031580100
Census Tract 633.03,15min,7.451838125,17031580200
Census Tract 2209.01,15min,7.259328524,17031580300
Census Tract 2106.02,15min,6.901595873,17031580400
Census Tract 2206.02,15min,6.919575602,17031580501
Census Tract 2206.01,15min,6.702547413,17031580502
Census Tract 404.01,15min,7.050558235,17031580600
Census Tract 2522.02,15min,7.284723987,17031580700
Census Tract 2521.02,15min,6.684592655,17031580800
Census Tract 7706.01,15min,11.6537829,17031590500
Census Tract 8061.03,15min,11.4480341,17031590600
Census Tract 8026.10,15min,14.22549536,17031590700
Census Tract 8026.09,15min,14.68686995,17031600400
Census Tract 8046.10,15min,14.69370511,17031600600
Census Tract 7702.01,15min,11.33804314,17031600700
Census Tract 8043.08,15min,14.45996069,17031600900
Census Tract 8206.05,15min,10.13642087,17031610300
Census Tract 8363,15min,10.79705577,17031610400
Census Tract 8345,15min,15.43020178,17031610800
Census Tract 8359,15min,10.24645443,17031611000
Census Tract 8360,15min,10.393851,17031611100
Census Tract 8362,15min,10.73034545,17031611200
Census Tract 8344,15min,10.72414553,17031611300
Census Tract 8343,15min,10.05134616,17031611400
Census Tract 701.01,15min,10.02967652,17031611500
Census Tract 1105.01,15min,5.8874022,17031611600
Census Tract 301.04,15min,6.031835092,17031611700
Census Tract 814.01,15min,9.92952982,17031611800
Census Tract 4301.02,15min,9.834612577,17031611900
Census Tract 7709.02,15min,10.88063151,17031612000
Census Tract 8241.21,15min,10.85431525,17031612100
Census Tract 4301.01,15min,2.263104198,17031620100
Census Tract 8041.09,15min,1.963763002,17031620200
Census Tract 8045.07,15min,1.92013121,17031620300
Census Tract 8046.11,15min,1.913682889,17031620400
Census Tract 8240.04,15min,10.16695947,17031630100
Census Tract 8240.06,15min,6.363205649,17031630200
Census Tract 2521.01,15min,2.086001494,17031630300
Census Tract 105.01,15min,2.065653254,17031630400
Census Tract 207.01,15min,5.976636556,17031630500
Census Tract 102.01,15min,1.675373031,17031630800
Census Tract 7608.01,15min,1.858069267,17031630900
Census Tract 8390,15min,4.740670396,17031640100
Census Tract 4402.01,15min,2.180312855,17031640300
Census Tract 5401.01,15min,2.252131494,17031640400
Census Tract 8020.04,15min,2.597375954,17031640500
Census Tract 8020.03,15min,1.576076959,17031640600
Census Tract 8030.13,15min,4.481966614,17031640700
Census Tract 8026.08,15min,4.938863144,17031640800
Census Tract 8030.15,15min,1.996727443,17031650100
Census Tract 8030.14,15min,4.099579588,17031650200
Census Tract 8340,15min,4.182066063,17031650301
Census Tract 8339,15min,4.148499913,17031650302
Census Tract 8192,15min,5.133648957,17031650400
Census Tract 8156,15min,3.840061367,17031650500
Census Tract 8180,15min,2.473285726,17031660301
Census Tract 8120,15min,1.696382946,17031660302
Census Tract 8294.02,15min,1.713084528,17031660400
Census Tract 8113.02,15min,4.652735869,17031660500
Census Tract 8028.02,15min,2.404241077,17031660600
Census Tract 8198.01,15min,2.707442532,17031660700
Census Tract 8198.02,15min,2.438728318,17031660800
Census Tract 8199,15min,4.66575578,17031660900
