group,variable,value
min15,17031071700,13.4626827
min15,17031071800,13.45974208
min15,17031080100,13.17401928
min15,17031080201,13.41144406
min15,17031080202,13.18432301
min15,17031080300,13.30410671
min15,17031080400,13.26090058
min15,17031081000,13.47357077
min15,17031081100,13.28492168
min15,17031081201,13.29303112
min15,17031081202,13.25807429
min15,17031081300,13.29398262
min15,17031081401,13.48782766
min15,17031081402,13.52183705
min15,17031081403,13.67430898
min15,17031081500,13.84962221
min15,17031081600,13.88683258
min15,17031081700,14.0140279
min15,17031081800,14.09284452
min15,17031081900,13.69537407
min15,17031090100,7.373496922
min15,17031090200,7.462092177
min15,17031090300,6.965507652
min15,17031100100,4.167711363
min15,17031100200,7.214790419
min15,17031100300,8.236788464
min15,17031100400,4.120395706
min15,17031100500,4.259660075
min15,17031100600,5.087492231
min15,17031100700,3.298624738
min15,17031110100,4.536547312
min15,17031110200,5.387033048
min15,17031110300,5.113987243
min15,17031110400,5.245175309
min15,17031110501,5.897325386
min15,17031110502,4.878847822
min15,17031120100,8.296886236
min15,17031120200,7.383098978
min15,17031120300,8.548283044
min15,17031120400,14.70986278
min15,17031130100,5.915621311
min15,17031130200,2.458569851
min15,17031130300,4.078043107
min15,17031140100,4.461875004
min15,17031140200,5.929159118
min15,17031140301,5.994094342
min15,17031140302,4.960491034
min15,17031140400,5.838744365
min15,17031140500,11.48522379
min15,17031140601,11.79267596
min15,17031140602,7.702969206
min15,17031140701,6.952890914
min15,17031140702,12.00623923
min15,17031140800,6.810773178
min15,17031150200,8.559590342
min15,17031150300,5.648491694
min15,17031150401,4.114059346
min15,17031150402,3.547065998
min15,17031150501,3.415901086
min15,17031150502,2.954064495
min15,17031150600,3.436136587
min15,17031150700,4.117852227
min15,17031150800,5.422715733
min15,17031151001,3.894812317
min15,17031151002,5.95688375
min15,17031151100,3.098080685
min15,17031151200,3.002575386
min15,17031160100,15.3963171
min15,17031160200,16.63540933
min15,17031160300,16.14325754
min15,17031160400,14.95576862
min15,17031160501,15.093881
min15,17031160502,15.14932298
min15,17031160601,8.089494111
min15,17031160602,15.02489927
min15,17031160700,14.88990004
min15,17031160800,15.4112069
min15,17031160900,15.13034973
min15,17031161000,16.21915646
min15,17031161100,16.17361005
min15,17031161200,6.134862964
min15,17031161300,14.92772364
min15,17031170100,2.513424663
min15,17031170200,3.083231661
min15,17031170300,3.995438312
min15,17031170400,3.989863584
min15,17031170500,3.058182178
min15,17031170600,3.455627461
min15,17031170700,3.709934336
min15,17031170800,3.893053453
min15,17031170900,4.274157718
min15,17031171000,4.131788352
min15,17031171100,2.820287931
min15,17031180100,3.917643622
min15,17031190100,4.58082708
min15,17031190200,3.762996238
min15,17031190300,2.172525193
min15,17031190401,2.114066906
min15,17031190402,2.049269837
min15,17031190601,3.070165396
min15,17031190602,3.044410263
min15,17031190701,2.46791589
min15,17031190702,2.45941289
min15,17031190800,2.741453318
min15,17031190900,3.025887127
min15,17031191000,4.078245726
min15,17031191100,2.933382041
min15,17031191200,2.667298043
min15,17031191301,3.503042657
min15,17031191302,3.410351537
min15,17031200100,5.132170117
min15,17031200200,4.368923759
min15,17031200300,3.577620816
