variable,id,group,value
Census Tract 301.01,17031250200,min15,7.534747173
Census Tract 307.01,17031250300,min15,3.649728456
Census Tract 701.03,17031250400,min15,4.010629618
Census Tract 8071,17031250500,min15,3.441648387
Census Tract 8072,17031250600,min15,4.714649172
Census Tract 8073,17031250700,min15,4.51440315
Census Tract 8074,17031250800,min15,7.634562773
Census Tract 8075,17031251000,min15,12.11202927
Census Tract 8077,17031251100,min15,7.784100633
Census Tract 8079,17031251200,min15,8.225799194
Census Tract 8080.01,17031251300,min15,11.13866963
Census Tract 8043.11,17031251400,min15,11.32750022
Census Tract 8083.01,17031251500,min15,10.97787237
Census Tract 8083.02,17031251600,min15,11.44172242
Census Tract 8086,17031251700,min15,12.38250477
Census Tract 8087.02,17031251800,min15,15.91169165
Census Tract 7702.02,17031251900,min15,12.01300695
Census Tract 7706.02,17031252000,min15,12.75387553
Census Tract 8061.04,17031252101,min15,12.87634861
Census Tract 8025.06,17031252102,min15,16.96451331
Census Tract 8025.05,17031252201,min15,16.72503029
Census Tract 8024.04,17031252202,min15,17.74078467
Census Tract 8030.17,17031260100,min15,15.98536882
Census Tract 8047.14,17031260200,min15,11.67779806
Census Tract 8043.10,17031260300,min15,15.59210305
Census Tract 8044.03,17031260400,min15,15.6507069
Census Tract 8206.06,17031260500,min15,17.62487512
Census Tract 8044.06,17031260600,min15,16.59459609
Census Tract 8047.16,17031260700,min15,16.47412981
Census Tract 8062.01,17031260800,min15,16.62461184
Census Tract 8206.04,17031260900,min15,16.40612733
Census Tract 8241.16,17031261000,min15,17.45731674
Census Tract 8240.05,17031270500,min15,17.62597181
Census Tract 8241.14,17031271200,min15,16.68471785
Census Tract 8238.06,17031271300,min15,16.72140707
Census Tract 8240.03,17031271400,min15,16.38586544
Census Tract 8241.22,17031271500,min15,16.7324013
Census Tract 8241.17,17031271800,min15,16.54235551
Census Tract 8319,17031280100,min15,18.71458981
Census Tract 8045.06,17031280400,min15,14.36256225
Census Tract 8241.19,17031280800,min15,17.83280797
Census Tract 8241.20,17031280900,min15,13.58416708
Census Tract 8395,17031281900,min15,18.63262859
Census Tract 8326,17031282700,min15,12.96349775
Census Tract 8369,17031282800,min15,17.28324454
Census Tract 8412,17031283100,min15,13.85026056
Census Tract 8419,17031283200,min15,13.22021264
Census Tract 8358,17031283800,min15,12.28174404
Census Tract 8388,17031290900,min15,16.77869945
Census Tract 8423,17031291200,min15,12.04150565
Census Tract 8155,17031291600,min15,11.45225296
Census Tract 8432,17031292200,min15,12.43689211
Census Tract 8434,17031292400,min15,8.789391549
Census Tract 8426,17031292500,min15,8.759835892
Census Tract 8032,17031300500,min15,8.678284603
Census Tract 8033,17031300600,min15,8.474295529
Census Tract 8089,17031300700,min15,8.161657809
Census Tract 8090,17031300800,min15,7.725043914
Census Tract 3018.03,17031300900,min15,7.414556969
Census Tract 8091,17031301100,min15,7.327794407
Census Tract 8092,17031301200,min15,11.36228537
Census Tract 8093,17031301600,min15,7.308615118
Census Tract 2210,17031301701,min15,7.473360405
Census Tract 2211,17031301702,min15,7.320688728
Census Tract 2428,17031301801,min15,8.083222305
Census Tract 2429,17031301802,min15,8.562390413
Census Tract 2430,17031301803,min15,7.855051695
Census Tract 2431,17031310200,min15,18.80127093
Census Tract 2432,17031310300,min15,16.8551744
Census Tract 2433,17031310400,min15,16.27162387
Census Tract 2434,17031310500,min15,15.57274359
Census Tract 714,17031310600,min15,15.12543561
Census Tract 1104,17031310700,min15,11.77387579
Census Tract 1506,17031310800,min15,11.81205744
Census Tract 1507,17031310900,min15,11.35303072
Census Tract 1508,17031320100,min15,12.71786031
Census Tract 1511,17031320400,min15,14.7274385
Census Tract 1512,17031320600,min15,17.80548673
Census Tract 2415,17031330100,min15,16.89156419
Census Tract 2411,17031330200,min15,16.20825116
Census Tract 2416,17031340300,min15,15.99143889
Census Tract 2413,17031340400,min15,17.41475737
Census Tract 2414,17031340500,min15,16.11636034
Census Tract 2435,17031340600,min15,16.04403757
Census Tract 2502,17031350100,min15,14.69311369
Census Tract 2503,17031350400,min15,14.728615
Census Tract 2504,17031351000,min15,13.60702963
Census Tract 2505,17031351100,min15,14.4426524
Census Tract 715,17031351400,min15,15.73914979
Census Tract 718,17031351500,min15,16.5389346
Census Tract 801,17031360200,min15,13.53187166
Census Tract 803,17031380100,min15,13.93248492
Census Tract 804,17031380200,min15,14.07111871
Census Tract 1601,17031380500,min15,15.74786318
Census Tract 1602,17031380700,min15,15.53716303
Census Tract 1603,17031381200,min15,14.64567732
Census Tract 1604,17031381400,min15,15.38086706
Census Tract 1607,17031381500,min15,15.38086706
Census Tract 2213,17031381800,min15,14.74958611
Census Tract 2215,17031381900,min15,9.994889246
Census Tract 2214,17031390100,min15,13.46736153
Census Tract 2506,17031390200,min15,13.37776162
Census Tract 2507,17031390300,min15,13.34763288
Census Tract 2508,17031390400,min15,9.758954011
Census Tract 2510,17031390500,min15,13.31819874
Census Tract 2511,17031390600,min15,10.54538945
Census Tract 514,17031390700,min15,10.73159509
Census Tract 601,17031400300,min15,15.41044047
Census Tract 603,17031400400,min15,10.84431935
Census Tract 608,17031400500,min15,14.84400462
Census Tract 1608,17031400800,min15,10.98481789
Census Tract 1609,17031410100,min15,10.27989859
Census Tract 1610,17031410200,min15,5.927611042
Census Tract 1611,17031410500,min15,5.521646171
Census Tract 1612,17031410600,min15,5.873670859
Census Tract 1613,17031410700,min15,5.884025327
Census Tract 1701,17031410800,min15,6.344593621
Census Tract 2216,17031410900,min15,10.31325671
Census Tract 2421,17031411000,min15,10.21990353
Census Tract 2420,17031411100,min15,6.37257428
Census Tract 2512,17031411200,min15,5.902370534
Census Tract 2513,17031420100,min15,5.915622893
Census Tract 513,17031420200,min15,5.955936871
Census Tract 6007,17031420300,min15,5.995358789
Census Tract 6009,17031420400,min15,6.121109254
Census Tract 8212,17031420500,min15,6.211450237
Census Tract 6720,17031420600,min15,7.527960973
Census Tract 7109,17031420700,min15,6.199978556
Census Tract 7110,17031420800,min15,6.058256444
Census Tract 7111,17031421200,min15,7.712898785
Census Tract 7112,17031430101,min15,5.835734197
Census Tract 7115,17031430102,min15,5.743296766
Census Tract 7113,17031430200,min15,5.802254015
Census Tract 7114,17031430300,min15,5.814940349
Census Tract 2705,17031430400,min15,6.222468842
Census Tract 2712,17031430500,min15,5.816390446
Census Tract 2713,17031430600,min15,5.763538747
Census Tract 2714,17031430700,min15,5.729544618
Census Tract 3501,17031430800,min15,5.506853336
Census Tract 3504,17031430900,min15,5.649518276
Census Tract 3510,17031431200,min15,5.616663371
Census Tract 3514,17031431301,min15,5.351706696
Census Tract 3602,17031431302,min15,5.50353195
Census Tract 8139,17031431400,min15,5.39997898
Census Tract 8226.01,17031440101,min15,6.446235369
Census Tract 8227.01,17031440102,min15,5.747562359
Census Tract 8227.02,17031440201,min15,6.630376354
Census Tract 8228.01,17031440202,min15,6.482844794
Census Tract 8230.02,17031440300,min15,7.949473285
Census Tract 8140,17031440600,min15,7.549369491
Census Tract 8141,17031440700,min15,7.372172098
Census Tract 8142,17031440800,min15,6.391314473
Census Tract 8143,17031440900,min15,6.98088789
Census Tract 8144,17031450300,min15,5.931414388
Census Tract 8231.01,17031460100,min15,5.260142995
Census Tract 8233.02,17031460200,min15,1.625648843
Census Tract 8233.03,17031460301,min15,5.501703674
Census Tract 8235,17031460302,min15,5.221220747
Census Tract 8145,17031460400,min15,5.658924402
Census Tract 8146,17031460500,min15,5.812666301
Census Tract 8148,17031460600,min15,5.70650678
Census Tract 8149,17031460700,min15,5.629226487
Census Tract 8150,17031461000,min15,5.709921235
Census Tract 8151,17031470100,min15,1.981322272
Census Tract 8236.02,17031480100,min15,5.937449196
Census Tract 8236.04,17031480200,min15,5.614059172
Census Tract 8236.05,17031480300,min15,5.7517719
Census Tract 8237.02,17031480400,min15,5.75209119
Census Tract 1605.01,17031480500,min15,5.863264671
Census Tract 8152,17031490300,min15,7.361196665
Census Tract 8153,17031490400,min15,7.137036584
Census Tract 8154,17031490500,min15,7.020167942
Census Tract 8237.04,17031490600,min15,10.05500737
Census Tract 8237.05,17031490700,min15,7.099882401
Census Tract 8241.08,17031490800,min15,6.784605675
Census Tract 8158,17031490901,min15,2.374447435
Census Tract 8159,17031490902,min15,2.967072956
Census Tract 8160,17031491000,min15,2.827903672
Census Tract 8162,17031491100,min15,2.97947652
Census Tract 8245.07,17031491200,min15,2.816847608
Census Tract 8246.02,17031491300,min15,2.286345215
Census Tract 8247.01,17031491400,min15,2.208389501
Census Tract 8247.02,17031500100,min15,1.853819623
Census Tract 8252,17031500200,min15,1.710018385
